'Frame (30fps)', 'hips' (mm), 'neck', 'head', 'eye_R', 'eye_L', 'clavicle_R', 'shoulder_R', 'upperArm_R', 'elbow_R', 'lowerArm_R', 'hand_R', 'clavicle_L', 'shoulder_L', 'upperArm_L', 'elbow_L', 'lowerArm_L', 'hand_L', 'upperLeg_R', 'knee_R', 'ankle_R', 'upperLeg_L', 'knee_L', 'ankle_L', 'toes_r', 'toes_l', 'fingers_r_Ctrl', 'fingers_l_Ctrl'
0,-1,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-2.77,8.89,-6.12,-52.25,-38.83,0,0
1,-1,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-2.77,8.89,-6.12,-52.24,-38.83,0,0
2,-1,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-2.77,8.89,-6.12,-52.24,-38.82,0,0
3,-1,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-2.77,8.89,-6.12,-52.23,-38.81,0,0
4,-1,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-2.77,8.89,-6.12,-52.22,-38.8,0,0
5,-1,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.91,9.6,-4.68,-2.79,8.92,-6.14,-52.2,-38.79,0,0
6,-1,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.93,9.63,-4.7,-2.8,8.96,-6.15,-52.18,-38.77,0,0
7,-1,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.95,9.66,-4.72,-2.82,8.99,-6.17,-52.15,-38.74,0,0
8,-2,0,0,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.96,9.69,-4.73,-2.84,9.03,-6.19,-52.13,-38.72,0,0
9,-2,0,0.01,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.98,9.73,-4.75,-2.86,9.06,-6.2,-52.09,-38.69,0,0
