'Frame (30fps)', 'hips', 'neck', 'head', 'eye_R', 'eye_L', 'clavicle_R', 'shoulder_R', 'upperArm_R', 'elbow_R', 'lowerArm_R', 'hand_R', 'clavicle_L', 'shoulder_L', 'upperArm_L', 'elbow_L', 'lowerArm_L', 'hand_L', 'upperLeg_R', 'knee_R', 'ankle_R', 'upperLeg_L', 'knee_L', 'ankle_L'
0,-147,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-4.89,9.56,-4.67
1,-147,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-4.89,9.56,-4.67
2,-147,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-4.89,9.56,-4.67
3,-147,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-4.89,9.56,-4.67
4,-147,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.9,9.56,-4.67,-4.89,9.56,-4.67
5,-148,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.91,9.6,-4.68,-4.91,9.59,-4.68
6,-149,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.93,9.63,-4.7,-4.93,9.63,-4.7
7,-150,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.95,9.66,-4.72,-4.95,9.66,-4.71
8,-151,0,0,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.96,9.69,-4.73,-4.96,9.69,-4.73
9,-152,0,0.01,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.98,9.73,-4.75,-4.98,9.72,-4.74
10,-153,0,0.01,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.99,9.75,-4.76,-4.99,9.75,-4.76
11,-154,0,0.01,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.01,9.78,-4.78,-5.01,9.78,-4.77
12,-154,0,0.01,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.02,9.81,-4.79,-5.02,9.81,-4.79
13,-155,0,0.01,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.04,9.84,-4.8,-5.04,9.84,-4.8
14,-156,0,0.01,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.05,9.87,-4.82,-5.05,9.86,-4.81
15,-157,0,0.01,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.06,9.89,-4.83,-5.06,9.89,-4.83
16,-158,0,0.02,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.08,9.92,-4.84,-5.08,9.91,-4.84
17,-159,0,0.02,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.09,9.94,-4.85,-5.09,9.94,-4.85
18,-159,0,0.02,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.1,9.97,-4.86,-5.1,9.96,-4.86
19,-160,0,0.02,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.11,9.99,-4.88,-5.11,9.99,-4.87
20,-161,0,0.02,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.13,10.01,-4.89,-5.12,10.01,-4.89
21,-162,0,0.03,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.14,10.04,-4.9,-5.14,10.03,-4.9
22,-162,0,0.03,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.15,10.06,-4.91,-5.15,10.06,-4.91
23,-163,0,0.03,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.16,10.08,-4.92,-5.16,10.08,-4.92
24,-164,0,0.03,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.17,10.1,-4.93,-5.17,10.1,-4.93
25,-165,0,0.04,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.18,10.13,-4.94,-5.18,10.12,-4.94
26,-165,0,0.04,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.19,10.15,-4.95,-5.19,10.14,-4.95
27,-166,0,0.04,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.21,10.17,-4.96,-5.2,10.17,-4.96
28,-167,0,0.04,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.22,10.19,-4.97,-5.22,10.19,-4.97
29,-167,0,0.05,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.23,10.21,-4.98,-5.23,10.21,-4.98
30,-168,0,0.05,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78,-15.79,-3.44,-5,85.44,-78.07,-5.24,10.23,-4.99,-5.24,10.23,-4.99
31,-169,0,0.05,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78,-15.79,-3.44,-5,85.44,-78.07,-5.25,10.25,-5,-5.25,10.25,-5
32,-169,0,0.06,0,0,23.57,-15.79,-66.02,-5,-42.32,-78.07,78,-15.79,-3.44,-5,85.44,-78.07,-5.26,10.28,-5.01,-5.26,10.27,-5.01
33,-170,0,0.06,0,0,23.57,-15.81,-66.02,-5,-42.32,-78.07,78,-15.79,-3.49,-5.02,85.5,-77.94,-5.27,10.3,-5.03,-5.27,10.29,-5.02
34,-171,0,0.06,0,0,23.57,-15.89,-66.02,-5,-42.32,-78.07,78,-15.79,-3.61,-5.1,85.68,-77.54,-5.28,10.32,-5.04,-5.28,10.31,-5.03
35,-172,0,0.06,0,0,23.58,-16.03,-65.98,-5,-42.39,-78.06,77.99,-15.79,-3.82,-5.21,85.97,-76.88,-5.29,10.34,-5.05,-5.29,10.34,-5.04
36,-172,0,0.07,0,0,23.62,-16.21,-65.85,-5,-42.62,-78.02,77.99,-15.79,-4.11,-5.38,86.36,-75.97,-5.3,10.36,-5.06,-5.3,10.36,-5.06
